step,joint_pos,eef_pos,reward,done
35,"[0.2760893009186994, 0.6994118544938163, -0.3449781454599106, -2.5150858817580457, -1.6339053551658862, 2.7926708879110596, 2.24864769061009]","[-0.2421946346709777, -0.07402192476753962, 0.8407314623077642]",0.0,False
36,"[0.25738411040387305, 0.725465879762191, -0.32334774069729927, -2.495767848570943, -1.6520034397116563, 2.770490293676917, 2.2658065638173452]","[-0.24382081846932754, -0.07692788833537334, 0.8326093823555201]",0.0,False
37,"[0.24716103901981448, 0.7410296854633431, -0.30036299629306207, -2.466261357628549, -1.712338227079686, 2.730497623280699, 2.2708444075941996]","[-0.23188783995486928, -0.0780678873653008, 0.8287534135228624]",0.0,False
38,"[0.23430353850539484, 0.7426023921562088, -0.2830943970068286, -2.459412783807212, -1.7474423667288421, 2.7059675637489025, 2.2772770582545947]","[-0.22813299849642568, -0.07867457943274807, 0.8277994048003348]",0.0,False
39,"[0.22189393533993762, 0.7305509507226688, -0.2793551900368025, -2.454123522582711, -1.789867629611985, 2.696405058935749, 2.2756294821058822]","[-0.22077549031056634, -0.08132445298649876, 0.8316710650595751]",0.0,False
40,"[0.20795922087676472, 0.7305691736341096, -0.27807065116084057, -2.43209697755702, -1.847304009054784, 2.681508698057388, 2.274904963810152]","[-0.20726438278674586, -0.0881011195349776, 0.8341496430658571]",0.0,False
41,"[0.1926624598202879, 0.7319081719229802, -0.28844144080562467, -2.440472505007518, -1.8735625465070687, 2.657973091799427, 2.263513487971568]","[-0.2116340767881253, -0.10341086671351962, 0.8352459524548776]",0.0,False
42,"[0.17830631607208305, 0.7348201728130543, -0.2762266262587442, -2.4312234606585243, -1.9086559587602228, 2.634384829023955, 2.2671766707340644]","[-0.2076183319763644, -0.10778424629133661, 0.8353247341780761]",0.0,False
43,"[0.16019487866496204, 0.7341497999434967, -0.25766460838167077, -2.4197583420612125, -1.949215441927042, 2.623526324795258, 2.283364432966591]","[-0.19946979951531332, -0.10597244744519269, 0.8347810789745118]",0.0,False
44,"[0.13701477380268448, 0.7388502419398822, -0.24292828070390243, -2.40340708500991, -1.985495736152196, 2.631133777745322, 2.3066054217958225]","[-0.19302969533738404, -0.10494671144070412, 0.8329264609485901]",0.0,False
45,"[0.10907070031994402, 0.7424911878196114, -0.23604606325503738, -2.3934942079506913, -2.036913590982894, 2.658700195190291, 2.3364190738153785]","[-0.19251284716374034, -0.10593362300590298, 0.8303917947500679]",0.0,False
46,"[0.08457964004946024, 0.7327388130307848, -0.23151548178532794, -2.3924051102860595, -2.105566822336747, 2.6692141917795436, 2.3583106968928895]","[-0.19030978823658945, -0.10944739838387488, 0.8326820227472844]",0.0,False
47,"[0.05586041724168381, 0.721760162395323, -0.2220499287165523, -2.402665459333221, -2.1397805212565837, 2.677963037454939, 2.3782904776947893]","[-0.1946371971216828, -0.11236959588989798, 0.8344890723003994]",0.0,False
48,"[0.02489460117371316, 0.706847575747079, -0.2173977667703678, -2.42622986414097, -2.1345816911380533, 2.699083768430267, 2.393302533134836]","[-0.20757304809660018, -0.11497631840307967, 0.835989260677533]",0.0,False
49,"[0.002725667461597283, 0.7066967997665881, -0.211150634495905, -2.413002642155117, -2.140084195084239, 2.711088673190325, 2.3908106103518594]","[-0.20403253399767762, -0.11803717698919672, 0.8366786268817853]",0.0,False
50,"[-0.016532561092612072, 0.7364988367148096, -0.22253964679876362, -2.3956987894068416, -2.1320133885091006, 2.698477504753335, 2.364754297522097]","[-0.20710768482283576, -0.13430918584909593, 0.8294950893441836]",0.0,False
51,"[-0.024378730283184852, 0.7451233443708617, -0.2239865929386065, -2.3971737233520884, -2.1283369332649187, 2.6713646300427576, 2.3189852121801446]","[-0.21141611748070718, -0.14398548314412482, 0.8269760019157193]",0.0,False
52,"[-0.020317424486628093, 0.7243606411911874, -0.21596766002569795, -2.3974729437403957, -2.149409479864217, 2.640119682551415, 2.2829573415144564]","[-0.1991270483571821, -0.1444696280031354, 0.8349524603808759]",0.0,False
53,"[-0.02484237681592773, 0.7263203880914206, -0.19098126174074956, -2.4034838746014224, -2.1663107426850146, 2.6083734413186512, 2.2804736424321645]","[-0.19727912246042972, -0.13853918467824425, 0.8336910763413681]",0.0,False
54,"[-0.0318606183311426, 0.7265676286513304, -0.17246349574329384, -2.4136158768916585, -2.186285856933062, 2.5815531831170775, 2.2883986599084953]","[-0.19958779985516817, -0.13466900434863519, 0.8319138956301797]",0.0,False
55,"[-0.03729166303190345, 0.7125017669891808, -0.1630518289433066, -2.441743259229074, -2.179708492271004, 2.560434231243014, 2.3003629788511164]","[-0.20765497041382341, -0.13356069911796917, 0.8345773204084136]",0.0,False
56,"[-0.04675231769961199, 0.7159423519021376, -0.1463381329040696, -2.4475636148099573, -2.1790369958331737, 2.550224825771585, 2.3254453091605654]","[-0.21172174233593077, -0.12923353319564335, 0.8321713990352338]",0.0,False
57,"[-0.05873578858057534, 0.7060118155917877, -0.1387487299672256, -2.4484895347622535, -2.2090704835441675, 2.552391312545667, 2.3548329800659293]","[-0.20841731304522162, -0.12863401656605328, 0.8345601771577082]",0.0,False
58,"[-0.07209222356016852, 0.7081763713179381, -0.11545279117887212, -2.4540735815277515, -2.241301155890114, 2.5548145857809903, 2.403826823033248]","[-0.21008691761681872, -0.11973984129501289, 0.8321253124561537]",0.0,False
59,"[-0.09021392907601698, 0.7165859938506963, -0.10725234692184943, -2.451315141085919, -2.2582373156868187, 2.568213108156465, 2.459203488641649]","[-0.21420073853159, -0.11813772252772597, 0.827934349526458]",0.0,False
60,"[-0.10563016916516572, 0.7082829714150063, -0.0988828782239495, -2.4371027949823327, -2.3279115684694216, 2.6071901584305555, 2.5219826349851626]","[-0.20647977607375104, -0.11303816528023507, 0.8298201221881165]",0.0,False
61,"[-0.12262033523757175, 0.7019688654988712, -0.09991379136375435, -2.4496653395694645, -2.410982690038065, 2.650733054507441, 2.5818433967826397]","[-0.2156092208409829, -0.10913810647018435, 0.8297642754997404]",0.0,False
62,"[-0.13912804606530627, 0.7018028520485612, -0.09863908865771073, -2.4509358193357187, -2.497548946067826, 2.6786036457011235, 2.6301961238909923]","[-0.22209288410211922, -0.10823815048637492, 0.8288944821275579]",0.0,False
63,"[-0.15371108663735125, 0.7020696483090683, -0.10531980461292431, -2.4343356725016694, -2.5841675210315915, 2.684279846749483, 2.6634466225837676]","[-0.21501077279810576, -0.11684377807827313, 0.8302519855878808]",0.0,False
64,"[-0.16677440056011952, 0.7001367939060051, -0.13436629202726627, -2.4430874456120417, -2.609548306320281, 2.667401697813924, 2.6554269788605827]","[-0.22148026603734114, -0.1374048088257983, 0.8318501271615959]",0.0,False
65,"[-0.17533467247978876, 0.7158457746270172, -0.14123214530390069, -2.427170020359848, -2.596623342182583, 2.654929202777235, 2.6445381258854375]","[-0.22001655676405793, -0.14830965739417035, 0.8288616460388148]",0.0,False
66,"[-0.1836368580951567, 0.7241835414052736, -0.14170077696705397, -2.4216267394298443, -2.559815749692186, 2.640168218738414, 2.6481742109698443]","[-0.21935978106228904, -0.1542768636126463, 0.8265439673832331]",0.0,False
67,"[-0.18646305727738144, 0.7109989020821069, -0.1251064593132869, -2.4196295823637466, -2.5587129058866824, 2.6147826620307213, 2.6394753445933667]","[-0.207756613929892, -0.1526435456941181, 0.8314093896275496]",0.0,False
68,"[-0.19036731404708146, 0.7207600287036284, -0.10956942544346526, -2.403011344362361, -2.5411028602258368, 2.5723962617078344, 2.634905270295504]","[-0.1942293171422847, -0.15425061210028118, 0.8311179732199185]",0.0,False
69,"[-0.1937652352242578, 0.7234627020606125, -0.09820520463241972, -2.3954814412307788, -2.560115881643653, 2.5529565971952626, 2.643474749591732]","[-0.18609130989961778, -0.15336598345181024, 0.8309660259488222]",0.0,False
70,"[-0.20161688257651886, 0.7116948913977534, -0.10083614203572118, -2.4138303519808946, -2.6209898547017514, 2.5596962878785705, 2.6481623589557044]","[-0.19207071899813905, -0.1528995965096648, 0.8330755614264242]",0.0,False
71,"[-0.21650468176935317, 0.7133290959253114, -0.11281579379207492, -2.4436773594790857, -2.6573952915602628, 2.5754067110857437, 2.663402540784985]","[-0.21529783627259896, -0.15619293193429828, 0.8291119630219048]",0.0,False
72,"[-0.23124301925331314, 0.7270598605775577, -0.10000336756186787, -2.438069241325001, -2.7163265391595552, 2.586863426351804, 2.715293172526078]","[-0.2195171317928825, -0.15141942322323312, 0.8234122840138769]",0.0,False
73,"[-0.24598609031954063, 0.7214931041132165, -0.08984714659009514, -2.4477938059610698, -2.8111410302274424, 2.590949201569672, 2.766706825296134]","[-0.22109748139675645, -0.14704179327252936, 0.8234350027575419]",0.0,False
74,"[-0.2596036795791173, 0.7252451586355371, -0.09025202054948189, -2.4669460873765368, -2.9092184503145337, 2.5953565548790203, 2.798223689403219]","[-0.2350582670261609, -0.14452515295817547, 0.8203938353315701]",0.0,False
75,"[-0.27015354729405566, 0.7368033277379289, -0.08992027316744307, -2.469070821725716, -2.8960868924825407, 2.6101125027464187, 2.8121013301562137]","[-0.24573645639922426, -0.14447544710457158, 0.8156907953560014]",0.0,False
76,"[-0.2792025209268374, 0.7406245305574297, -0.08270530125166166, -2.459416145399288, -2.900107705112888, 2.6315644211670253, 2.807681578088119]","[-0.24582762544218703, -0.14253564738239866, 0.8145489805315757]",0.0,False
77,"[-0.28891946320304207, 0.7459514142591085, -0.0760850510204792, -2.450989060714597, -2.898884428559487, 2.646291383000213, 2.798726511754796]","[-0.2460283637438972, -0.14144295875149554, 0.812881969173222]",0.0,False
78,"[-0.2910215422612367, 0.7383198178942346, -0.08009251621663693, -2.456077660918781, -2.857014854481301, 2.6475080420504624, 2.7712996938462293]","[-0.24723804373028835, -0.14424250576761394, 0.815165231930877]",0.0,False
79,"[-0.28832381904982496, 0.7337448271344901, -0.07290087234090287, -2.4506165500768793, -2.8392771867072835, 2.6338402122271596, 2.752106968889012]","[-0.23918165318204349, -0.14402728399624132, 0.8172273626923502]",0.0,False
80,"[-0.29312716475742673, 0.7301101247405588, -0.06558740760939434, -2.458371440079433, -2.8427838737312348, 2.619731707879452, 2.7440927112313074]","[-0.23801099707407977, -0.14223432236114497, 0.8178790883303797]",0.0,False
81,"[-0.2962196902249047, 0.713942862018454, -0.06409837535790794, -2.480359315358207, -2.8467803550311888, 2.6262807989789643, 2.716209580530936]","[-0.24532252439792057, -0.13925052293589985, 0.8214588949704252]",0.0,False
82,"[-0.2964810701547708, 0.6963858387970258, -0.08193810752293054, -2.482617788958181, -2.8233999416206546, 2.635280315064892, 2.6594721140630493]","[-0.2453786917379165, -0.14836233687889547, 0.82768069907278]",0.0,False
83,"[-0.2930946873306849, 0.6844970315382877, -0.0998005885451241, -2.4797540672080163, -2.7829952424135302, 2.627100505919033, 2.580817222977901]","[-0.24112456655786538, -0.16034446602404073, 0.8330105053978919]",0.0,False
84,"[-0.2902602815808728, 0.6676068516741972, -0.09831666926829193, -2.51662071724627, -2.7505673286113197, 2.61231783373509, 2.5058762680001774]","[-0.25187037123367517, -0.15645606459670125, 0.8360437358503247]",0.0,False
85,"[-0.29760490630782155, 0.6465686110945403, -0.06414282057649387, -2.5435279737935965, -2.7064794528416645, 2.59755826334919, 2.4574569587010244]","[-0.2534330702843792, -0.14233034188741417, 0.8401929920159715]",0.0,False
86,"[-0.31002038367139867, 0.6220122411026442, -0.04486538861293184, -2.564993380401843, -2.646936427408763, 2.5705138718430645, 2.4034601990469713]","[-0.251267976405367, -0.14038038643434658, 0.8468174151276916]",0.0,False
87,"[-0.316299916176817, 0.5980339510482451, -0.016003639236108536, -2.594066652014272, -2.599035527170076, 2.5463822173480724, 2.3571298497622943]","[-0.25254716756109863, -0.13215721237900452, 0.852762850525778]",0.0,False
88,"[-0.32588302066990255, 0.5830590507500422, 0.03235824576160952, -2.5910525044840496, -2.57260273521828, 2.5281003103263546, 2.3485847219919758]","[-0.23744026393714865, -0.11828595748346508, 0.8581998073331957]",0.0,False
89,"[-0.3333242594710755, 0.5928242898582825, 0.05421318700139884, -2.5922134094981657, -2.5524686550864057, 2.5121612941438776, 2.338759482594999]","[-0.23594057494818202, -0.11212437592963273, 0.8558025477059096]",0.0,False
90,"[-0.3339078986189621, 0.6006576677439516, 0.0833474729314108, -2.608175685711307, -2.542561030358506, 2.5081130250251595, 2.328639961745943]","[-0.243669288588432, -0.0964162886813475, 0.8517316767825781]",0.0,False
91,"[-0.33251880447234955, 0.6129742558180852, 0.08913191449337995, -2.5907292224037293, -2.535896979069485, 2.5110558958213747, 2.3100850925798397]","[-0.23848176795879958, -0.09295879904126203, 0.849152391188855]",0.0,False
92,"[-0.327941728253139, 0.618031330832632, 0.09422759188329015, -2.5547984484293536, -2.5807368302962557, 2.5222168276579264, 2.3108639761135605]","[-0.21850908506738648, -0.0914833404194018, 0.8501926945864646]",0.0,False
93,"[-0.3286504374126213, 0.6001388738434074, 0.08540465783770143, -2.57054376415081, -2.6074756334782037, 2.5208411289834887, 2.3132999035557074]","[-0.2198628217129318, -0.09429453946238267, 0.8548668639790598]",0.0,False
94,"[-0.3222856351961858, 0.5978718666728992, 0.08055962946085107, -2.600538504142224, -2.611471903268975, 2.5090158240849436, 2.3056467364731987]","[-0.2348121536288165, -0.09279690025158653, 0.8534581890503632]",0.0,False
95,"[-0.31787225729187185, 0.6089975159912429, 0.07372131965768419, -2.6037572726988114, -2.580233754338189, 2.4988831362949457, 2.3104292205151657]","[-0.24153463094169314, -0.09455430405539599, 0.8496321543339653]",0.0,False
96,"[-0.31650985508107915, 0.6171829573792306, 0.0662976341009706, -2.6155067487628694, -2.5306442825573505, 2.489104195561028, 2.328273324777927]","[-0.2524171970230186, -0.09852143827613308, 0.8463778095481427]",0.0,False
97,"[-0.30611808686516295, 0.6207024619990664, 0.06314374551241397, -2.6393485873183775, -2.4928657358946498, 2.4727670251116414, 2.3348747431027785]","[-0.26670625239788004, -0.09681990716706362, 0.8442593966108667]",0.0,False
98,"[-0.28574277742503157, 0.6282213706823544, 0.07835903814491865, -2.6405793718826907, -2.5017181991582667, 2.4487639760218496, 2.3462006023504918]","[-0.263412860191172, -0.08684848511082724, 0.842676361220318]",0.0,False
99,"[-0.2681921043149298, 0.6310211299333958, 0.09238461790597735, -2.6585355906472583, -2.517893244662777, 2.432960903883932, 2.355237882579274]","[-0.2679558974939676, -0.0743007109379493, 0.841301984991233]",0.0,False
